THEID,UNITNUMBER,STREETNUMBER,ADDRESSLINE1,CITY,REGION,POSTALCODE,COUNTRYID
89,89,189,Business district,Istanbul,Marmara,34379,14
90,90,190,Clementi,Jurong West,West Region,520147,15
91,91,191,Downtown,Rome,Lazio Region,56121,16
92,92,192,Suburbs,Manaus,North Region,69000000,18
93,93,193,Retiro,Madrid,Madrid Region,8830,17
94,94,194,Plaza de Armas,Cusco,Andes,67001,19
95,95,195,Complexe le Tropical,Oujda,Oriental Region,20430,20
96,96,196,Pescara Center,Pescara,Abruzzo,56121,16
97,97,197,Downtown,Izmir,Aegean Region,34379,14
98,98,198,Mosque,Argun,Greater Caucasus,364014,12
99,99,199,Mosque,Medina,Medina Region,76313,13
100,100,100,Shahrtuz,Shahrtuz,Khatlon,735,9
